CRT-code,CRT-name,IPCC2006-code,IPCC2006-name,NOTE
3.G.2.,Dolomite CaMg(CO3)2,,,"This CRT category is included in ""table 3.5 AFOLU Background Table: CO2 emissions from Liming (3 C 2)"" in annex 8A.2 to the 2006 IPCC Guidelines volume 1, chapter 8."
3.H.,Urea application,3C3,Urea Application,
3.I.,Other carbon-containing fertilizers,,,
3.J.,Other (please specify),3C8,Other (please specify),
4,"Land Use, Land-Use Change and Forestry",,,
4,Total LULUCF,3B,Land,
4.A.,Forest land,3B1,Forest Land,
4.A.1.,Forest land remaining forest land,3B1a,Forest Land Remaining Forest Land,
4.A.2.,Land converted to forest land,3B1b,Land Converted to Forest Land,
4.A.2.a.,Cropland converted to forest land,3B1bi,Cropland Converted to Forest Land,
4.A.2.b.,Grassland converted to forest land,3B1bii,Grassland Converted to Forest Land,
4.A.2.c.,Wetlands converted to forest land,3B1biii,Wetlands Converted to Forest Land,
4.A.2.d.,Settlements converted to forest land,3B1biv,Settlements Converted to Forest Land,
4.A.2.e.,Other land converted to forest land,3B1bv,Other Land Converted to Forest Land,
4.B.,Cropland,3B2,Cropland,
4.B.1.,Cropland remaining cropland,3B2a,Cropland Remaining Cropland,
4.B.2.,Land converted to cropland,3B2b,Land Converted to Cropland,
4.B.2.a.,Forest land converted to cropland,3B2bi,Forest Converted to Cropland,
4.B.2.b.,Grassland converted to cropland,3B2bii,Grassland Converted to Cropland,
4.B.2.c.,Wetlands converted to cropland,3B2biii,Wetlands Converted to Cropland,
4.B.2.d.,Settlements converted to cropland,3B2biv,Settlements Converted to Cropland,
4.B.2.e.,Other land converted to cropland,3B2bv,Other Converted to Cropland,
4.C.,Grassland,3B3,Grassland,
4.C.1.,Grassland remaining grassland,3B3a,Grassland Remaining Grassland,
4.C.2.,Land converted to grassland,3B3b,Land Converted to Grassland,
4.C.2.a.,Forest land converted to grassland,3B3bi,Forest Converted to Grassland,
4.C.2.b.,Cropland converted to grassland,3B3bii,Cropland Converted to Grassland,
4.C.2.c.,Wetlands converted to grass land,3B3biii,Wetlands Converted to Grassland,
4.C.2.d.,Settlements converted to grassland,3B3biv,Settlements Converted to Grassland,
4.C.2.e.,Other land converted to grassland,3B3bv,Other Converted to Grassland,
4.D.,Wetlands,3B4,Wetlands,
4.D.1.,Wetlands remaining wetlands,3B4a,Wetlands Remaining Wetlands,
4.D.1.a.,Peat extraction remaining peat extraction,3B4ai,Peatlands Remaining peatlands,
4.D.1.b.,Flooded land remaining flooded land,3B4aii,Flooded Land Remaining Flooded Land,
4.D.1.c.,Other wetlands remaining other wetlands,,,The 2013 supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands includes 3B4aiii Other wetlands remaining other wetlands
4.D.1.c.i.,Coastal wetlands,,," This category is included as a sub-element in ""Other wetlands remaining other wetlands"", which is from the 2013supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories: Wetlands."
4.D.2.,Land converted to wetlands,3B4b,Land Converted to Wetlands,
4.D.2.a.,Lands converted to peat extraction,3B4bi,Land Converted for Peat Extraction,
4.D.2.a.i.,Forest land converted to peat extraction,,,"This category is included in the IPCC ""Land Converted for Peat Extraction"" as a sub-element."
4.D.2.a.ii.,Cropland converted to peat extraction,,,same as above
4.D.2.a.iii.,Grassland converted to peat extraction,,,same as above
4.D.2.a.iv.,Settlements converted to peat extraction,,,same as above
4.D.2.a.v.,Other land converted to peat extraction,,,same as above
4.D.2.b.,Land converted to flooded land,3B4bii,Land Converted to Flooded Land,
4.D.2.b.i.,Forest land converted to flooded land,,,"This category is included in the IPCC ""Land Converted to Flooded Land"" as a sub-element."
4.D.2.b.ii.,Cropland converted to flooded land,,,same as above
4.D.2.b.iii.,Grassland converted to flooded land,,,same as above
4.D.2.b.iv.,Settlements converted to flooded land,,,same as above
4.D.2.b.v.,Other land converted to flooded land,,,same as above
4.D.2.c.,Land converted to other wetlands,3B4biii,Land Converted to Other Wetlands,
4.D.2.c.i.,Forest land converted to other wetlands,,," This category is included in the IPCC ""Land Converted to Other Wetlands"" as a sub-element."
4.D.2.c.ii.,Cropland converted to other wetlands,,,same as above
4.D.2.c.iii.,Grassland converted to other wetlands,,,same as above
4.D.2.c.iv.,Settlements converted to other wetlands,,,same as above
4.D.2.c.v.,Other land converted to other wetlands,,,same as above
4.E.,Settlements,3B5,Settlements,
4.E.1.,Settlements remaining settlements,3B5a,Settlements remaining settlements,
4.E.2.,Land converted to settlements,3B5b,Land Converted to settlements,
4.E.2.a.,Forest land converted to settlements,3B5bi,Forest Converted to settlements,
4.E.2.b.,Cropland converted to settlements,3B5bii,Cropland Converted to settlements,
4.E.2.c.,Grassland converted to settlements,3B5biii,Grassland Converted to settlements,
4.E.2.d.,Wetlands converted to settlements,3B5biv,Wetlands Converted to settlements,
4.E.2.e.,Other Land converted to settlements,3B5bv,Other Converted to settlements,
4.F.,Other land,3B6,Other Land,
4.F.1.,Other land remaining other land,3B6a,Other Land Remaining Other Land,
4.F.2.,Land converted to other land,3B6b,Land Converted to Other Land,
4.F.2.a.,Forest land converted to other lands,3B6bi,Forest Land Converted to Other Land,
4.F.2.b.,Cropland converted to other lands,3B6bii,Cropland Converted to Other Land,
4.F.2.c.,Grassland converted to other lands,3B6biii,Grassland Converted to Other Land,
4.F.2.d.,Wetlands converted to other lands,3B6biv,Wetlands Converted to Other Land,
4.F.2.e.,Other Land converted to other lands,3B6bv,Settlements Converted to Other Land,
4.G.,Harvested wood products,3D1,Harvested Wood Products,
4.G.1.,Solid wood,,,
4.G.1.a.,Sawnwood,,,"This CRT category is included in ""Harvested Wood Products"" as a sub-element."
4.G.1.b.,Wood panelssame as above,,,
4.G.1.c.,Othersolid wood productssame as above,,,
4.G.2.,Paper and paperboardsame as above,,,
4.G.2.a.,Other (please specify)same as above,,,
4.G.3.,Other (please specify),,,"This CRT category is included in ""Harvested Wood Products"" as a sub-element."
4.H.,Other (please specify),3D2,Other (please specify),This CRT category is calculated based onsub-categories.
5,Waste,,,
5,Total waste,4,WASTE,
5.A.,Solid waste disposal,4A,Solid Waste Disposal,
5.A.1.,Managed waste disposalsites,4A1,Managed Waste Disposalsites,
5.A.1.a.,Anaerobic ,,,"This category is included in the IPCC ""Managed Waste Disposalsites"" as a sub-element."
5.A.1.b.,Semi-aerobic,,,"This category is included in the IPCC ""Managed Waste Disposalsites"" as a sub-element. "
5.A.1.c.,Active-aeration,,,"This CRT category is included as a sub-element of ""Managed Waste Disposalsites"" in the 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories."
5.A.2.,Unmanaged waste disposalsites,4A2,Unmanaged Waste Disposalsites,
5.A.3.,Uncategorized waste disposalsites,4A3,Uncategorised Waste Disposalsites,
5.B.,Biological treatment ofsolid waste,4B,Biological Treatment ofsolid Waste,
5.B.1.,Composting,,,"This category is included in the IPCC ""Biological Treatment of solid Waste"" as a sub-element."
5.B.1.a.,Municipalsolid wastesame as above,,,
5.B.1.b.,Other (please specify) ,,,This CRT category is calculated based on country-specific sub-categories in the CRT.
5.B.2.,Anaerobic digestion at biogas facilities ,,,"This category is included in the IPCC ""Biological Treatment ofsolid Waste"" as a sub-element."
5.B.2.a.,Municipalsolid wastesame as above,,,
5.B.2.b.,Other (please specify),,,This CRT category is calculated based on country-specific sub-categories in the CRT.
5.C.,Incineration and open burning of waste,4C,Incineration and Open Burning of Waste,
5.C.1.,Waste incineration,4C1,Waste Incineration,
5.C.1.a.,Biogenic,,,
5.C.1.a.i.,Municipalsolid waste,,,
5.C.1.a.ii.,Other,,,This CRT category is calculated based onsub-categories listed in the drop-down list. Drop down list
5.C.1.a.ii.1.,Industrialsolid wastes,,,
5.C.1.a.ii.2.,Hazardous waste,,,
5.C.1.a.ii.3.,Clinical waste,,,
5.C.1.a.ii.4.,Sewagesludge,,,
5.C.1.a.ii.5.,Other (please specify),,,This CRT category is calculated based on country-specific sub-categories in the CRT.
5.C.1.b.,Non-biogenic,,,This CRT category is calculated based onsub-categories.
5.C.1.b.i.,Municipalsolid waste,,,"This category is included in the IPCC ""Waste Incineration"" as a sub-element."
5.C.1.b.ii.,Other,,,This CRT category is calculated based onsub-categories listed in the drop-down list.
5.C.1.b.ii.1.,Industrialsolid wastes,,,"This category is included in the IPCC ""Waste Incineration"" as a sub-element."
5.C.1.b.ii.2.,Hazardous waste,,,same as above
5.C.1.b.ii.3.,Clinical waste,,,same as above
5.C.1.b.ii.4.,Sewagesludge,,,same as above
5.C.1.b.ii.5.,Fossil liquid waste,,,same as above
5.C.1.b.ii.6.,Other (please specify),,,This CRT category is calculated based on country-specific sub-categories in the CRT.
5.C.2.,Open burning of waste,4C2,Open Burning of Waste,
5.C.2.a.,Biogenic,,,
5.C.2.a.i.,Municipalsolid waste,,,
5.C.2.a.ii.,Other (please specify),,,This CRT category is calculated based on country-specific sub-categories in the CRT.
5.C.2.b.,Non-biogenic,,,"This CRT category is calculated based onsub-categories.C.2.b .i. Municipalsolid waste This category is included the IPCC in ""4 C 2 Open Burning of Waste"" as a sub-element."
5.C.2.b.ii.,Other (please specify),,,This CRT category is calculated based on country-specific sub-categories in the CRT.
5.D.,Wastewater treatment and discharge,4D,Wastewater Treatment and Discharge,
5.D.1.,Domestic wastewater,4D1,Domestic Wastewater Treatment and Discharge,
5.D.2.,Industrial wastewater,4D2,Industrial Wastewater Treatment and Discharge,
5.D.3.,Other,,,
5.E.,Other (please specify),4E,Other (please specify),Other (please specify) Memo item:
5.F.1.,Long-termstorage of C in waste disposalsites,,,"This CRT category is included in ""table.3 Waste Background Table: Long-termstorage of carbon Information items "" in annex 8A.2 to the 2006 IPCC Guidelines volume 1, chapter 8 ."
5.F.2.,Annual change in total long-term Cstorage,,,same as above
5.F.3.,Annual change in total long-term Cstorage in HWP waste,,,same as above
6,Other,,,
6,Other (please specify),5B,Other (please specify),
,,5A,Indirect N2O emissions from the atmospheric deposition of Nitrogen in Nox and NH3,
